Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2025-09-23,21:25:15,UBR197645,Driver Cancelled,cust23444,Uber Auto,Lajpat Nagar,Noida Sector 62,2.2,-,,Yes ,Too far,NO,,,16.5,,,Credit Card
2025-10-13,16:36:45,UBR140756,Completed,CUST65862,Uber Go,Aerocity,Vasant Kunj,3.8,29.1,,NO,,NO,,511.6,25.9,3.7,4.6,Unknown
11-03-2025,,UBR152026,Completed,CUST72140,Moto,Faridabad,Greater Kailash,90.0,49.9,,NO,,NO,,135.8,5.7,4.4,4.7,Debit Card
nan,16:59:32,UBR109526,Incomplete,CUST67783,Uber Auto,Ghaziabad,Saket,8.4,23.3,,NO,,Yes ,,,10.8,,,upi
2025-07-16,23:36:10,UBR170351,Completed , CUST24921,uber xl,Faridabad,Rohini,5.4,16.9,,No,,No ,,121.3,3.3,5.0,4.6,debit card
2025-02-14,08:26:31,UBR159524,Completed,CUST60675,Moto,Anand Vihar,Janakpuri,11.4,48.2,NULL,No,,No ,,317.2,8.7,5.0,4.6,Wallet
2025-03-20,10:08:01,UBR177856,Driver Cancelled,CUST63386,Bike,Vasant Kunj,DLF Phase 1,10.5,44.5,,Yes ,Vehicle issue,No,,,5.5,,,Wallet
2025-04-02,19:15:52,UBR144916,Completed,CUST27844,Moto,Greater Kailash,Vasant Kunj,13.2,NULL,NULL,No,,no,,443.3,20.5,3.6,N/A,CASH
10-30-2025,09:17:08,UBR132888,Incomplete,CUST69101,UberXL,Kaushambi,Greater Kailash,18.4,60.0,,No,,yes,,407.2,17.5,,,Credit Card
2025-05-26,17:13:06,UBR159690,Driver Cancelled,CUST65902,Uber XL,nan,Gurugram,12.0,42.9,,Yes ,Vehicle issue,No,,,6.2,,,UPI
09-15-2025,01:24:59,UBR195798,Customer Cancelled,CUST35820,Uber Go,Delhi,New Delhi Railway Station,7.0,18.5,Wait time too long,no,,NO,,,,,,Cash
,04:34:47,UBR192625,Completed,CUST33382,Uber XL,Anand Vihar,Vasant Kunj,5.6,19.8,,No,,No,,241.3,9.6,3.3,4.3,Not Available
2025-07-10,07:50:29,UBR109787,Completed,CUST39930,UberGo,Janakpuri,Saket,null,60.0,,no,,no,,430.7,12.3,3.9,3.3,Debit Card
03-01-2025,11:33 AM,UBR108329,Completed,CUST23426,Uber Auto,Vaishali,Hauz Khas,4.9,17.4,,No ,,No ,,352.6,12.1,4.3,5 stars,upi
2025-01-18,08:40:42,UBR102884,Completed,cust31089,moto,Noida Sector 18,Indirapuram,10.6,29.8,,No ,,NO,,279.6,10.3,4.4,4.4,CASH
2025-10-12,18:04:38,UBR183954,COMPLETED,CUST54626,Uber XL,DLF Phase 1,Noida Sector 18,15.1,53.9,N/A,No,nan,NO,,395.3,10.6,"""5.0""",null,upi
2025-06-25,09:10:31,UBR197370,Completed,CUST62778,Bike,Lajpat nagar,Rajouri Garden,NA,60.0,,No ,,No,,338.5,13.06617344907269,6.0,4.5,Cash
08-29-2025,19:32:04,UBR106153,Completed,CUST30294,,New Delhi Railway Station,Kashmere Gate,13.1,60.0,,NO,Not Available,No,,570.6,27.1,4.9,4.6,Wallet
12/02/2025,22:36:07,UBR170990,Completed,CUST69607,Moto,Ghaziabad,IGI Airport,6.5,41.3,N/A,NO,,No ,,751.6,39.4,5.0,-,Credit Card
2025-07-28,00:07:07,UBR900913,Completed,CUST44511,NA,MG Road,Vasant Kunj,12.4,43.6,,NO,NA,No ,,230.9,6.5,4.9,5.0,UPI
